,구명,총생활인구수
218400,종로구,194294.1824
218401,중구,145579.2716
218402,용산구,245449.3087
218403,성동구,303286.6195
218404,광진구,354462.4349
218405,동대문구,327059.4326
218406,중랑구,369023.964
218407,성북구,420005.9408
218408,강북구,296938.701
218409,도봉구,276419.95
218410,노원구,504646.2782
218411,은평구,456273.1263
218412,서대문구,327992.4424
218413,마포구,405164.9746
218414,양천구,377928.2974
218415,강서구,529553.5293
218416,구로구,381256.0232
218417,금천구,193815.1793
218418,영등포구,399792.6995
218419,동작구,371107.4779
218420,관악구,469267.3548
218421,서초구,440318.2949
218422,강남구,630407.3011
218423,송파구,704820.0696
218424,강동구,521573.5569
218425,종로구,192769.6077
218426,중구,144147.9138
218427,용산구,244370.5318
218428,성동구,304161.2084
218429,광진구,355123.8224
218430,동대문구,329544.098
218431,중랑구,371352.9279
218432,성북구,420972.5664
218433,강북구,297547.339
218434,도봉구,278901.414
218435,노원구,506210.2205
218436,은평구,459823.648
218437,서대문구,327605.2227
218438,마포구,403441.4838
218439,양천구,379343.1793
218440,강서구,532109.6934
218441,구로구,381752.4683
218442,금천구,194901.6786
218443,영등포구,399100.3746
218444,동작구,372503.4961
218445,관악구,471867.7485
218446,서초구,437439.6125
218447,강남구,627427.4787
218448,송파구,706719.2233
218449,강동구,523693.0646
218450,종로구,191645.8973
218451,중구,143266.6194
218452,용산구,243809.781
218453,성동구,305349.6154
218454,광진구,356311.9544
218455,동대문구,331174.8701
218456,중랑구,372679.1879
218457,성북구,422918.0987
218458,강북구,298222.9597
218459,도봉구,280758.3241
218460,노원구,508375.0054
218461,은평구,462342.128
218462,서대문구,328649.1514
218463,마포구,402299.7832
218464,양천구,380859.0194
218465,강서구,533760.5266
218466,구로구,382328.8177
218467,금천구,196119.3132
218468,영등포구,399070.3315
218469,동작구,374014.016
218470,관악구,473992.5041
218471,서초구,435258.4245
218472,강남구,623952.9093
218473,송파구,708790.2875
218474,강동구,526204.9441
218475,종로구,191737.8395
218476,중구,142618.4523
218477,용산구,243089.9019
218478,성동구,306699.1104
218479,광진구,358127.0873
218480,동대문구,332635.0536
218481,중랑구,374835.8515
218482,성북구,423931.3855
218483,강북구,299214.9219
218484,도봉구,282447.3642
218485,노원구,510799.1944
218486,은평구,464827.9167
218487,서대문구,329859.5084
218488,마포구,400091.2822
218489,양천구,382338.4387
218490,강서구,534847.1465
218491,구로구,383098.4073
218492,금천구,196684.183
218493,영등포구,399517.9742
218494,동작구,375109.6306
218495,관악구,475742.9678
218496,서초구,433921.1785
218497,강남구,619715.5253
218498,송파구,711278.1575
218499,강동구,528847.576
218500,종로구,191557.8232
218501,중구,143049.0827
218502,용산구,242799.6934
218503,성동구,307829.9516
218504,광진구,358555.7777
218505,동대문구,335061.8607
218506,중랑구,375892.0171
218507,성북구,425186.7761
218508,강북구,299932.0954
218509,도봉구,283494.8659
218510,노원구,512746.5342
218511,은평구,466138.8363
218512,서대문구,331329.1033
218513,마포구,399135.5205
218514,양천구,382980.3225
218515,강서구,537931.1702
218516,구로구,383297.3834
218517,금천구,197830.3083
218518,영등포구,400472.292
218519,동작구,374504.8413
218520,관악구,477694.2763
218521,서초구,433588.6361
218522,강남구,618908.448
218523,송파구,712781.9703
218524,강동구,529986.2988
218525,종로구,192896.5528
218526,중구,144850.627
218527,용산구,242809.4456
218528,성동구,309397.081
218529,광진구,359319.7057
218530,동대문구,336172.2367
218531,중랑구,375741.1284
218532,성북구,425708.9918
218533,강북구,299800.4615
218534,도봉구,284617.3993
218535,노원구,512806.9928
218536,은평구,466844.2558
218537,서대문구,331491.7394
218538,마포구,396304.0469
218539,양천구,383003.198
218540,강서구,541192.5103
218541,구로구,383963.0561
218542,금천구,198035.5228
218543,영등포구,402696.6965
218544,동작구,376339.7222
218545,관악구,477086.4458
218546,서초구,435429.6191
218547,강남구,617038.307
218548,송파구,715302.8215
218549,강동구,531200.14
218550,종로구,194056.458
218551,중구,149056.9396
218552,용산구,243685.8005
218553,성동구,310125.3715
218554,광진구,359012.3466
218555,동대문구,337246.3873
218556,중랑구,374677.1004
218557,성북구,424912.4444
218558,강북구,298268.5116
218559,도봉구,284188.8097
218560,노원구,510761.4777
218561,은평구,465354.4373
218562,서대문구,331842.7995
218563,마포구,392799.0772
218564,양천구,382323.2955
218565,강서구,542760.6741
218566,구로구,382541.0883
218567,금천구,198420.5204
218568,영등포구,405930.8564
218569,동작구,375323.8399
218570,관악구,475531.2
218571,서초구,439001.7248
218572,강남구,618791.5603
218573,송파구,715842.955
218574,강동구,531021.3377
218575,종로구,196954.4666
218576,중구,152317.3533
218577,용산구,246862.3448
218578,성동구,310169.7243
218579,광진구,356829.6532
218580,동대문구,336600.2455
218581,중랑구,372368.3955
218582,성북구,423853.843
218583,강북구,296291.9621
218584,도봉구,283566.1902
218585,노원구,508240.9575
218586,은평구,460674.1353
218587,서대문구,331155.7435
218588,마포구,391752.4497
218589,양천구,380311.8009
218590,강서구,539577.1022
218591,구로구,381604.5857
218592,금천구,198103.1262
218593,영등포구,411696.1887
218594,동작구,372917.4047
218595,관악구,472280.9624
218596,서초구,443852.673
218597,강남구,621759.2719
218598,송파구,715365.1455
218599,강동구,529111.2682
218600,종로구,203034.0632
218601,중구,161551.429
218602,용산구,252312.1217
218603,성동구,309687.7598
218604,광진구,354284.7019
218605,동대문구,335681.3277
218606,중랑구,368479.4798
218607,성북구,421401.1364
218608,강북구,292460.9459
218609,도봉구,282640.4854
218610,노원구,504010.742
218611,은평구,454293.0334
218612,서대문구,330022.1779
218613,마포구,393799.962
218614,양천구,378110.9087
218615,강서구,536868.037
218616,구로구,381098.9622
218617,금천구,196955.9174
218618,영등포구,419357.7012
218619,동작구,369632.0606
218620,관악구,466353.4577
218621,서초구,454499.5757
218622,강남구,641565.6848
218623,송파구,714663.9978
218624,강동구,524974.3434
218625,종로구,212913.0007
218626,중구,177401.4382
218627,용산구,261080.73
218628,성동구,309072.8744
218629,광진구,349926.0342
218630,동대문구,334127.8678
218631,중랑구,362869.9024
218632,성북구,416932.5099
218633,강북구,287640.51
218634,도봉구,279486.5823
218635,노원구,498504.6329
218636,은평구,445367.356
218637,서대문구,327522.1936
218638,마포구,396901.5104
218639,양천구,376886.173
218640,강서구,532987.3023
218641,구로구,379537.8504
218642,금천구,195260.6294
218643,영등포구,430948.1859
218644,동작구,363942.0458
218645,관악구,457263.7104
218646,서초구,474630.2726
218647,강남구,663823.4426
218648,송파구,717728.6326
218649,강동구,518981.2181
218650,종로구,226341.0739
218651,중구,193947.5018
218652,용산구,267599.4999
218653,성동구,310614.1988
218654,광진구,347703.2141
218655,동대문구,333783.1031
218656,중랑구,356856.5195
218657,성북구,413591.8306
218658,강북구,282342.5351
218659,도봉구,277683.6446
218660,노원구,490671.3513
218661,은평구,435551.841
218662,서대문구,325820.0506
218663,마포구,401970.5755
218664,양천구,371977.402
218665,강서구,527324.2363
218666,구로구,379284.9001
218667,금천구,195538.6416
218668,영등포구,446674.0594
218669,동작구,359163.4555
218670,관악구,449032.5997
218671,서초구,488100.7778
218672,강남구,679870.8585
218673,송파구,723773.7057
218674,강동구,511425.3088
218675,종로구,242796.6635
218676,중구,210024.6153
218677,용산구,275867.4194
218678,성동구,308832.8929
218679,광진구,344583.875
218680,동대문구,332916.9607
218681,중랑구,352231.8965
218682,성북구,406242.8895
218683,강북구,279246.0082
218684,도봉구,275493.0852
218685,노원구,486036.6172
218686,은평구,427148.4072
218687,서대문구,322651.0531
218688,마포구,408941.9649
218689,양천구,365960.6525
218690,강서구,524918.1302
218691,구로구,376278.3281
218692,금천구,192711.6993
218693,영등포구,457727.4394
218694,동작구,351128.8799
218695,관악구,440190.1004
218696,서초구,496182.4122
218697,강남구,690784.027
218698,송파구,726593.708
218699,강동구,502976.089
218700,종로구,260002.6708
218701,중구,226693.4611
218702,용산구,280774.3113
218703,성동구,308634.5084
218704,광진구,345267.8635
218705,동대문구,331159.8686
218706,중랑구,344985.7112
218707,성북구,400019.7648
218708,강북구,278041.2646
218709,도봉구,271505.7006
218710,노원구,480820.2882
218711,은평구,420349.3362
218712,서대문구,321739.6281
218713,마포구,416225.1002
218714,양천구,361881.3053
218715,강서구,519664.3258
218716,구로구,372249.7698
218717,금천구,191796.9757
218718,영등포구,462458.841
218719,동작구,346419.481
218720,관악구,432999.568
218721,서초구,500226.2481
218722,강남구,699390.0721
218723,송파구,731609.6481
218724,강동구,495456.6299
218725,종로구,277217.4144
218726,중구,234588.0033
218727,용산구,282100.2681
218728,성동구,308203.3043
218729,광진구,344700.8688
218730,동대문구,328472.9094
218731,중랑구,341094.6216
218732,성북구,392931.4295
218733,강북구,277004.7444
218734,도봉구,268121.8154
218735,노원구,477794.4907
218736,은평구,413334.7571
218737,서대문구,319305.6367
218738,마포구,422161.372
218739,양천구,357052.5422
218740,강서구,519713.8086
218741,구로구,367805.0302
218742,금천구,191032.3488
218743,영등포구,471406.7783
218744,동작구,339936.9554
218745,관악구,426465.3065
218746,서초구,502637.6889
218747,강남구,702165.0595
218748,송파구,737179.6148
218749,강동구,487467.2869
218750,종로구,287619.9487
218751,중구,242452.2123
218752,용산구,284519.7071
218753,성동구,310374.0276
218754,광진구,344692.0607
218755,동대문구,326768.5483
218756,중랑구,339474.4085
218757,성북구,386678.8113
218758,강북구,276234.9569
218759,도봉구,266124.5636
218760,노원구,477423.3028
218761,은평구,410803.6476
218762,서대문구,317392.8574
218763,마포구,431401.081
218764,양천구,355875.6802
218765,강서구,517273.6579
218766,구로구,369816.975
218767,금천구,189689.5533
218768,영등포구,472441.6707
218769,동작구,335816.8296
218770,관악구,422581.9356
218771,서초구,498347.3558
218772,강남구,701364.4352
218773,송파구,744545.5463
218774,강동구,484229.037
218775,종로구,292377.381
218776,중구,247465.7829
218777,용산구,288711.9455
218778,성동구,310485.5793
218779,광진구,347716.4302
218780,동대문구,324530.9341
218781,중랑구,339873.6587
218782,성북구,382883.6097
218783,강북구,275933.6195
218784,도봉구,264279.4543
218785,노원구,478425.6496
218786,은평구,411737.2782
218787,서대문구,318008.1383
218788,마포구,435834.2949
218789,양천구,354671.4884
218790,강서구,515680.7873
218791,구로구,368103.7242
218792,금천구,190727.9915
218793,영등포구,471864.1772
218794,동작구,334734.6379
218795,관악구,420839.2907
218796,서초구,494757.4979
218797,강남구,698029.6548
218798,송파구,754195.4854
218799,강동구,483144.5781
218800,종로구,290712.4979
218801,중구,250793.5391
218802,용산구,286602.2353
218803,성동구,312924.8031
218804,광진구,349383.2428
218805,동대문구,322390.1521
218806,중랑구,341507.4788
218807,성북구,384562.2838
218808,강북구,276372.7926
218809,도봉구,264279.3825
218810,노원구,480611.6481
218811,은평구,414607.6146
218812,서대문구,316596.7571
218813,마포구,438635.7077
218814,양천구,355767.0609
218815,강서구,514959.8017
218816,구로구,369996.5202
218817,금천구,190676.4675
218818,영등포구,469208.02
218819,동작구,336606.944
218820,관악구,420264.2361
218821,서초구,489165.5789
218822,강남구,694944.1982
218823,송파구,761289.1506
218824,강동구,484002.4522
218825,종로구,287957.6605
218826,중구,250338.5144
218827,용산구,283132.1622
218828,성동구,313063.6077
218829,광진구,349993.1082
218830,동대문구,320177.1198
218831,중랑구,343771.8462
218832,성북구,387667.1376
218833,강북구,277612.4668
218834,도봉구,266711.4056
218835,노원구,482551.8124
218836,은평구,418102.8231
218837,서대문구,316686.0553
218838,마포구,441773.4108
218839,양천구,357076.6736
218840,강서구,516428.6771
218841,구로구,371736.8405
218842,금천구,189487.9977
218843,영등포구,463857.3063
218844,동작구,338868.1419
218845,관악구,422178.0758
218846,서초구,482135.3958
218847,강남구,686021.1306
218848,송파구,768433.8924
218849,강동구,486730.9501
218850,종로구,279983.8662
218851,중구,243560.5711
218852,용산구,278659.7678
218853,성동구,310768.803
218854,광진구,353558.1941
218855,동대문구,318373.9906
218856,중랑구,346627.3191
218857,성북구,392651.4527
218858,강북구,280639.4622
218859,도봉구,268046.2235
218860,노원구,487085.1936
218861,은평구,425689.7091
218862,서대문구,320369.8203
218863,마포구,446824.879
218864,양천구,361275.4241
218865,강서구,520752.1958
218866,구로구,375886.0747
218867,금천구,190242.9236
218868,영등포구,456284.9679
218869,동작구,342732.3195
218870,관악구,427767.9617
218871,서초구,479864.207
218872,강남구,674307.7878
218873,송파구,770264.0955
218874,강동구,492184.6911
218875,종로구,272433.4103
218876,중구,231464.6504
218877,용산구,277113.609
218878,성동구,311066.4188
218879,광진구,356326.5118
218880,동대문구,318648.4092
218881,중랑구,349267.085
218882,성북구,400766.2935
218883,강북구,283130.1376
218884,도봉구,269185.778
218885,노원구,489542.378
218886,은평구,431400.163
218887,서대문구,323763.0803
218888,마포구,445825.1362
218889,양천구,365606.0996
218890,강서구,520530.9436
218891,구로구,377295.9205
218892,금천구,190594.9105
218893,영등포구,446853.0797
218894,동작구,347880.1792
218895,관악구,433297.536
218896,서초구,473095.1503
218897,강남구,665036.2025
218898,송파구,772142.3016
218899,강동구,499483.0067
218900,종로구,261532.7191
218901,중구,218883.2572
218902,용산구,274437.314
218903,성동구,311055.3877
218904,광진구,359468.0824
218905,동대문구,318156.3304
218906,중랑구,351959.2726
218907,성북구,405891.1104
218908,강북구,284430.8329
218909,도봉구,271587.1151
218910,노원구,491329.274
218911,은평구,436570.5283
218912,서대문구,324350.8797
218913,마포구,445152.8432
218914,양천구,371714.4089
218915,강서구,519987.8213
218916,구로구,380273.7733
218917,금천구,191752.2452
218918,영등포구,436796.8266
218919,동작구,353091.4692
218920,관악구,439212.9199
218921,서초구,471318.8512
218922,강남구,658132.9925
218923,송파구,768560.4351
218924,강동구,504338.4288
218925,종로구,256123.8551
218926,중구,209005.9248
218927,용산구,269142.1538
218928,성동구,308739.603
218929,광진구,361287.2793
218930,동대문구,318648.3323
218931,중랑구,357054.9185
218932,성북구,410250.1866
218933,강북구,288326.1006
218934,도봉구,272962.4121
218935,노원구,494061.4034
218936,은평구,443182.8938
218937,서대문구,326010.8562
218938,마포구,440173.8608
218939,양천구,375927.7888
218940,강서구,521432.1266
218941,구로구,381194.3687
218942,금천구,192995.2922
218943,영등포구,429805.6003
218944,동작구,356936.8358
218945,관악구,447012.7005
218946,서초구,468009.1295
218947,강남구,647161.7564
218948,송파구,760630.9162
218949,강동구,511490.6773
218950,종로구,256739.9058
218951,중구,200592.6968
218952,용산구,263721.9329
218953,성동구,307810.6311
218954,광진구,361977.7655
218955,동대문구,318743.7518
218956,중랑구,359366.5514
218957,성북구,413452.7579
218958,강북구,291305.4007
218959,도봉구,275031.2482
218960,노원구,496259.9388
218961,은평구,449841.1966
218962,서대문구,328060.1952
218963,마포구,432976.831
218964,양천구,379048.8386
218965,강서구,523506.3752
218966,구로구,383009.1742
218967,금천구,193212.0206
218968,영등포구,424834.1482
218969,동작구,360606.5874
218970,관악구,453555.7338
218971,서초구,462603.2588
218972,강남구,629700.708
218973,송파구,761769.404
218974,강동구,516365.1128
218975,종로구,263221.8877
218976,중구,188805.4676
218977,용산구,254287.5104
218978,성동구,296581.4734
218979,광진구,355781.0228
218980,동대문구,316706.4351
218981,중랑구,360203.7044
218982,성북구,410327.3386
218983,강북구,292986.2712
218984,도봉구,271282.2431
218985,노원구,495476.7704
218986,은평구,450068.5219
218987,서대문구,324488.5898
218988,마포구,419684.1012
218989,양천구,375598.4994
218990,강서구,521633.0927
218991,구로구,378668.7106
218992,금천구,190117.0387
218993,영등포구,407102.4074
218994,동작구,363853.2023
218995,관악구,457217.6958
218996,서초구,449020.821
218997,강남구,622783.9308
218998,송파구,764912.4354
218999,강동구,512444.1005
